model,condition,level,accuracy,clean_accuracy,accuracy_drop
mlp_baseline,gaussian_noise,0.05,0.8586000204086304,0.875,0.01639997959136963
mlp_dropout,gaussian_noise,0.05,0.8758999705314636,0.8820000290870667,0.006100058555603027
cnn_baseline,gaussian_noise,0.05,0.899399995803833,0.9138000011444092,0.014400005340576172
cnn_dropout,gaussian_noise,0.05,0.911400020122528,0.9178000092506408,0.006399989128112793
mlp_baseline,gaussian_noise,0.1,0.8281000256538391,0.875,0.04689997434616089
mlp_dropout,gaussian_noise,0.1,0.8654000163078308,0.8820000290870667,0.01660001277923584
cnn_baseline,gaussian_noise,0.1,0.8533999919891357,0.9138000011444092,0.06040000915527344
cnn_dropout,gaussian_noise,0.1,0.8855999708175659,0.9178000092506408,0.03220003843307484
mlp_baseline,gaussian_noise,0.15,0.769599974155426,0.875,0.10540002584457397
mlp_dropout,gaussian_noise,0.15,0.839900016784668,0.8820000290870667,0.04210001230239868
cnn_baseline,gaussian_noise,0.15,0.7452999949455261,0.9138000011444092,0.16850000619888306
cnn_dropout,gaussian_noise,0.15,0.833299994468689,0.9178000092506408,0.0845000147819518
mlp_baseline,gaussian_noise,0.2,0.691100001335144,0.875,0.18389999866485596
mlp_dropout,gaussian_noise,0.2,0.7993000149726868,0.8820000290870667,0.08270001411437988
cnn_baseline,gaussian_noise,0.2,0.5981000065803528,0.9138000011444092,0.3156999945640564
cnn_dropout,gaussian_noise,0.2,0.7483000159263611,0.9178000092506408,0.16949999332427967
mlp_baseline,translation,1.0,0.6924999952316284,0.875,0.18250000476837158
mlp_dropout,translation,1.0,0.7322999835014343,0.8820000290870667,0.14970004558563232
cnn_baseline,translation,1.0,0.8259000182151794,0.9138000011444092,0.08789998292922974
cnn_dropout,translation,1.0,0.8565999865531921,0.9178000092506408,0.06120002269744862
mlp_baseline,translation,2.0,0.322299987077713,0.875,0.552700012922287
mlp_dropout,translation,2.0,0.3102000057697296,0.8820000290870667,0.571800023317337
cnn_baseline,translation,2.0,0.4740000069141388,0.9138000011444092,0.4397999942302704
cnn_dropout,translation,2.0,0.6193000078201294,0.9178000092506408,0.29850000143051136
mlp_baseline,translation,3.0,0.1645999997854232,0.875,0.7104000002145768
mlp_dropout,translation,3.0,0.148499995470047,0.8820000290870667,0.7335000336170197
cnn_baseline,translation,3.0,0.221000000834465,0.9138000011444092,0.6928000003099442
cnn_dropout,translation,3.0,0.3021000027656555,0.9178000092506408,0.6157000064849852
mlp_baseline,cutout,4.0,0.8622999787330627,0.875,0.012700021266937256
mlp_dropout,cutout,4.0,0.8687999844551086,0.8820000290870667,0.013200044631958008
cnn_baseline,cutout,4.0,0.8827000260353088,0.9138000011444092,0.031099975109100342
cnn_dropout,cutout,4.0,0.8932999968528748,0.9178000092506408,0.024500012397766002
mlp_baseline,cutout,6.0,0.8373000025749207,0.875,0.037699997425079346
mlp_dropout,cutout,6.0,0.8497999906539917,0.8820000290870667,0.03220003843307495
cnn_baseline,cutout,6.0,0.8658000230789185,0.9138000011444092,0.04799997806549072
cnn_dropout,cutout,6.0,0.8776000142097473,0.9178000092506408,0.040199995040893444
mlp_baseline,cutout,8.0,0.7964000105857849,0.875,0.07859998941421509
mlp_dropout,cutout,8.0,0.8125,0.8820000290870667,0.06950002908706665
cnn_baseline,cutout,8.0,0.8411999940872192,0.9138000011444092,0.07260000705718994
cnn_dropout,cutout,8.0,0.8551999926567078,0.9178000092506408,0.062600016593933
